pclass,survived,age,sibsp,parch,fare,boat,female,male
1,1,29.0,0,0,211.3375,0,1,0
1,1,0.9167,1,2,151.55,1,0,1
1,0,2.0,1,2,151.55,27,1,0
1,0,30.0,1,2,151.55,27,0,1
1,0,25.0,1,2,151.55,27,1,0
1,1,48.0,0,0,26.55,2,0,1
1,1,63.0,1,0,77.9583,3,1,0
1,0,39.0,0,0,0.0,27,0,1
1,1,53.0,2,0,51.4792,4,1,0
1,0,71.0,0,0,49.5042,27,0,1
1,0,47.0,1,0,227.525,27,0,1
1,1,18.0,1,0,227.525,5,1,0
1,1,24.0,0,0,69.3,6,1,0
1,1,26.0,0,0,78.85,7,1,0
1,1,80.0,0,0,30.0,8,0,1
1,0,24.0,0,1,247.5208,27,0,1
1,1,50.0,0,1,247.5208,7,1,0
1,1,32.0,0,0,76.2917,9,1,0
1,0,36.0,0,0,75.2417,10,0,1
1,1,37.0,1,1,52.5542,11,0,1
1,1,47.0,1,1,52.5542,11,1,0
1,1,26.0,0,0,30.0,11,0,1
1,1,42.0,0,0,227.525,5,1,0
1,1,29.0,0,0,221.7792,9,1,0
1,0,25.0,0,0,26.0,27,0,1
1,1,25.0,1,0,91.0792,12,0,1
1,1,19.0,1,0,91.0792,12,1,0
1,1,35.0,0,0,135.6333,9,1,0
1,1,28.0,0,0,26.55,4,0,1
1,0,45.0,0,0,35.5,27,0,1
1,1,40.0,0,0,31.0,12,0,1
1,1,30.0,0,0,164.8667,9,1,0
1,1,58.0,0,0,26.55,9,1,0
1,0,42.0,0,0,26.55,27,0,1
1,1,45.0,0,0,262.375,5,1,0
1,1,22.0,0,1,55.0,7,1,0
1,0,41.0,0,0,30.5,27,0,1
1,0,48.0,0,0,50.4958,27,0,1
1,1,44.0,0,0,27.7208,7,1,0
1,1,59.0,2,0,51.4792,4,1,0
1,1,60.0,0,0,76.2917,9,1,0
1,1,41.0,0,0,134.5,2,1,0
1,0,45.0,0,0,26.55,27,0,1
1,1,42.0,0,0,26.2875,11,0,1
1,1,53.0,0,0,27.4458,7,1,0
1,1,36.0,0,1,512.3292,2,0,1
1,1,58.0,0,1,512.3292,2,1,0
1,0,33.0,0,0,5.0,27,0,1
1,0,28.0,0,0,47.1,27,0,1
1,0,17.0,0,0,47.1,27,0,1
1,1,11.0,1,2,120.0,5,0,1
1,1,14.0,1,2,120.0,5,1,0
1,1,36.0,1,2,120.0,13,0,1
1,1,36.0,1,2,120.0,5,1,0
1,0,49.0,0,0,26.0,27,0,1
1,0,36.0,1,0,78.85,27,0,1
1,1,76.0,1,0,78.85,7,1,0
1,0,46.0,1,0,61.175,27,0,1
1,1,47.0,1,0,61.175,5,1,0
1,1,27.0,1,0,53.1,11,0,1
1,1,33.0,1,0,53.1,11,1,0
1,1,36.0,0,0,262.375,5,1,0
1,1,30.0,0,0,86.5,9,1,0
1,1,45.0,0,0,29.7,12,0,1
1,0,27.0,1,0,136.7792,27,0,1
1,1,26.0,1,0,136.7792,5,1,0
1,1,22.0,0,0,151.55,1,1,0
1,0,47.0,0,0,25.5875,27,0,1
1,1,39.0,1,1,83.1583,14,1,0
1,0,37.0,1,1,83.1583,27,0,1
1,1,64.0,0,2,83.1583,14,1,0
1,1,55.0,2,0,25.7,0,1,0
1,0,70.0,1,1,71.0,27,0,1
1,1,36.0,0,2,71.0,12,1,0
1,1,64.0,1,1,26.55,12,1,0
1,0,39.0,1,0,71.2833,27,0,1
1,1,38.0,1,0,71.2833,5,1,0
1,1,51.0,0,0,26.55,15,0,1
1,1,27.0,0,0,30.5,2,0,1
1,1,33.0,0,0,151.55,9,1,0
1,0,31.0,1,0,52.0,27,0,1
1,1,27.0,1,2,52.0,2,1,0
1,1,31.0,1,0,57.0,2,0,1
1,1,17.0,1,0,57.0,2,1,0
1,1,53.0,1,1,81.8583,16,0,1
1,1,4.0,0,2,81.8583,11,0,1
1,1,54.0,1,1,81.8583,11,1,0
1,0,50.0,1,0,106.425,27,0,1
1,1,27.0,1,1,247.5208,7,1,0
1,1,48.0,1,0,106.425,0,1,0
1,1,48.0,1,0,39.6,17,1,0
1,1,49.0,1,0,56.9292,17,0,1
1,0,39.0,0,0,29.7,27,0,1
1,1,23.0,0,1,83.1583,12,1,0
1,1,38.0,0,0,227.525,5,1,0
1,1,54.0,1,0,78.2667,5,1,0
1,0,36.0,0,0,31.6792,27,1,0
1,1,36.0,0,0,26.3875,11,0,1
1,0,30.0,0,0,27.75,27,0,1
1,1,24.0,3,2,263.0,3,1,0
1,1,28.0,3,2,263.0,3,1,0
1,1,23.0,3,2,263.0,3,1,0
